"Date","Production"
2000-01-15,5784
2000-02-15,5852
2000-03-15,5918
2000-04-15,5854
2000-05-15,5847
2000-06-15,5823
2000-07-15,5739
2000-08-15,5789
2000-09-15,5758
2000-10-15,5809
2000-11-15,5833
2000-12-15,5855
2001-01-15,5799
2001-02-15,5780
2001-03-15,5880
2001-04-15,5863
2001-05-15,5829
2001-06-15,5766
2001-07-15,5749
2001-08-15,5725
2001-09-15,5709
2001-10-15,5746
2001-11-15,5881
2001-12-15,5887
2002-01-15,5873
2002-02-15,5881
2002-03-15,5886
2002-04-15,5844
2002-05-15,5905
2002-06-15,5884
2002-07-15,5751
2002-08-15,5796
2002-09-15,5411
2002-10-15,5358
2002-11-15,5624
2002-12-15,5722
2003-01-15,5755
2003-02-15,5783
2003-03-15,5803
2003-04-15,5726
2003-05-15,5663
2003-06-15,5659
2003-07-15,5498
2003-08-15,5574
2003-09-15,5609
2003-10-15,5614
2003-11-15,5547
2003-12-15,5571
2004-01-15,5585
2004-02-15,5572
2004-03-15,5617
2004-04-15,5560
2004-05-15,5556
2004-06-15,5407
2004-07-15,5484
2004-08-15,5325
2004-09-15,5081
2004-10-15,5170
2004-11-15,5423
2004-12-15,5510
2005-01-15,5446
2005-02-15,5501
2005-03-15,5601
2005-04-15,5563
2005-05-15,5596
2005-06-15,5442
2005-07-15,5253
2005-08-15,5198
2005-09-15,4214
2005-10-15,4555
2005-11-15,4857
2005-12-15,4988
2006-01-15,5048
2006-02-15,5032
2006-03-15,5027
2006-04-15,5082
2006-05-15,5151
2006-06-15,5163
2006-07-15,5094
2006-08-15,5040
2006-09-15,5031
2006-10-15,5108
2006-11-15,5064
2006-12-15,5186
2007-01-15,5108
2007-02-15,5118
2007-03-15,5119
2007-04-15,5180
2007-05-15,5211
2007-06-15,5075
2007-07-15,5038
2007-08-15,4970
2007-09-15,4902
2007-10-15,5022
2007-11-15,5034
2007-12-15,5111
2008-01-15,5115
2008-02-15,5148
2008-03-15,5189
2008-04-15,5180
2008-05-15,5143
2008-06-15,5138
2008-07-15,5177
2008-08-15,5003
2008-09-15,3974
2008-10-15,4738
2008-11-15,5078
2008-12-15,5103
2009-01-15,5144
2009-02-15,5239
2009-03-15,5219
2009-04-15,5278
2009-05-15,5377
2009-06-15,5269
2009-07-15,5398
2009-08-15,5418
2009-09-15,5559
2009-10-15,5524
2009-11-15,5395
2009-12-15,5452
2010-01-15,5404
2010-02-15,5553
2010-03-15,5515
2010-04-15,5392
2010-05-15,5401
2010-06-15,5380
2010-07-15,5298
2010-08-15,5447
2010-09-15,5616
2010-10-15,5631
2010-11-15,5576
2010-12-15,5607
2011-01-15,5497
2011-02-15,5406
2011-03-15,5618
2011-04-15,5562
2011-05-15,5625
2011-06-15,5589
2011-07-15,5440
2011-08-15,5665
2011-09-15,5614
2011-10-15,5902
2011-11-15,6039
2011-12-15,6112
2012-01-15,6177
2012-02-15,6268
2012-03-15,6327
2012-04-15,6320
2012-05-15,6370
2012-06-15,6275
2012-07-15,6431
2012-08-15,6351
2012-09-15,6598
2012-10-15,6970
2012-11-15,7082
2012-12-15,7106
2013-01-15,7083
2013-02-15,7145
2013-03-15,7214
2013-04-15,7374
2013-05-15,7326
2013-06-15,7277
2013-07-15,7522
2013-08-15,7534
2013-09-15,7838
2013-10-15,7760
2013-11-15,7919
2013-12-15,7932
2014-01-15,8077
2014-02-15,8141
2014-03-15,8296
2014-04-15,8526
2014-05-15,8645
2014-06-15,8742
2014-07-15,8846
2014-08-15,8931
2014-09-15,9086
2014-10-15,9265
2014-11-15,9324
2014-12-15,9563
2015-01-15,9383
2015-02-15,9490
2015-03-15,9583
2015-04-15,9658
2015-05-15,9474
2015-06-15,9357
2015-07-15,9445
2015-08-15,9409
2015-09-15,9477
2015-10-15,9399
2015-11-15,9332
2015-12-15,9275
2016-01-15,9201
2016-02-15,9060
2016-03-15,9100
2016-04-15,8873
2016-05-15,8834
2016-06-15,8675
2016-07-15,8661
2016-08-15,8689
2016-09-15,8543
2016-10-15,8803
2016-11-15,8902
2016-12-15,8815
2017-01-15,8874
2017-02-15,9094
2017-03-15,9164
2017-04-15,9101
2017-05-15,9185
2017-06-15,9110
2017-07-15,9246
2017-08-15,9250
2017-09-15,9516
2017-10-15,9668
2017-11-15,10085
2017-12-15,9983
2018-01-15,10000
2018-02-15,10262
2018-03-15,10466
2018-04-15,10499
2018-05-15,10434
2018-06-15,10640
2018-07-15,10896
2018-08-15,11391
2018-09-15,11443
2018-10-15,11508
2018-11-15,11885
2018-12-15,11944
2019-01-15,11871
2019-02-15,11652
2019-03-15,11911
2019-04-15,12145
2019-05-15,12153
2019-06-15,12216
2019-07-15,11896
2019-08-15,12479
2019-09-15,12584
2019-10-15,12805
2019-11-15,13000
2019-12-15,12980
2020-01-15,12850
2020-02-15,12844
2020-03-15,12795
2020-04-15,11911
2020-05-15,9714
2020-06-15,10446
2020-07-15,11004
2020-08-15,10579
2020-09-15,10926
2020-10-15,10456
2020-11-15,11196
2020-12-15,11172
2021-01-15,11137
2021-02-15,9916
2021-03-15,11351
2021-04-15,11318
2021-05-15,11390
2021-06-15,11366
2021-07-15,11392
2021-08-15,11276
2021-09-15,10921
2021-10-15,11564
2021-11-15,11782
2021-12-15,11678
2022-01-15,11480
2022-02-15,11258
2022-03-15,11806
2022-04-15,11770
2022-05-15,11734
2022-06-15,11800
2022-07-15,11834
2022-08-15,11985
2022-09-15,12325
2022-10-15,12378
2022-11-15,12376
2022-12-15,12138
